t,vx_true,vy_true,vz_true,vx_est,vy_est,vz_est
2.19,0.061489,-0.0170577,0.117745,0.0633859,-0.0170021,0.129141
2.2,0.0699551,0.00496092,0.193377,0.0690071,0.00541951,0.204596
2.21,0.0638551,0.0161141,0.267193,0.0600984,0.0170202,0.277744
2.22,0.0772967,0.024756,0.292753,0.0732987,0.0261162,0.302719
2.23,0.100372,0.0332765,0.282929,0.098521,0.0354286,0.291571
2.24,0.127213,0.0408079,0.247643,0.127639,0.0435016,0.255883
2.25,0.150744,0.0454445,0.197745,0.152632,0.0480334,0.206333
2.26,0.167834,0.0474814,0.126072,0.171593,0.0497375,0.135052
2.27,0.175173,0.0494047,0.0406459,0.181156,0.0512269,0.0498402
2.28,0.173963,0.051721,-0.0469885,0.181871,0.0531875,-0.0378219
2.29,0.16939,0.0539878,-0.126642,0.179382,0.055065,-0.118079
2.3,0.167427,0.0564671,-0.201622,0.179082,0.0571402,-0.193452
2.31,0.165706,0.0582798,-0.257695,0.178831,0.0583449,-0.24973
2.32,0.161074,0.0584714,-0.282238,0.17482,0.0583901,-0.274121
2.33,0.152526,0.0591428,-0.273963,0.166027,0.0590395,-0.265552
2.34,0.140733,0.0612735,-0.238869,0.153216,0.0613481,-0.229837
2.35,0.127474,0.064394,-0.186412,0.138141,0.0645893,-0.176603
2.36,0.115044,0.0674077,-0.126568,0.12396,0.0677908,-0.115963
2.37,0.101999,0.0668211,-0.0600873,0.108919,0.0668154,-0.0488607
2.38,0.0834072,0.0476685,0.0352912,0.087211,0.046988,0.0469978
2.39,0.0836453,0.0185136,0.119807,0.0839855,0.0171565,0.131712
2.4,0.093096,-0.00457111,0.194124,0.0901381,-0.00634202,0.206283
2.41,0.086765,-0.0165459,0.269409,0.0810976,-0.0184852,0.280972
2.42,0.101517,-0.0257352,0.293822,0.0953863,-0.0271511,0.304938
2.43,0.126031,-0.0344031,0.283593,0.121852,-0.0359558,0.293328
2.44,0.153612,-0.0420166,0.249455,0.151475,-0.043701,0.259005
2.45,0.177669,-0.0465089,0.200814,0.176633,-0.0482516,0.211017
2.46,0.194763,-0.0484016,0.129835,0.195289,-0.05003,0.140525
2.47,0.201596,-0.0502684,0.0443452,0.204083,-0.0516616,0.0551107
2.48,0.199729,-0.0525234,-0.043293,0.2043,-0.0538086,-0.0329343
2.49,0.19456,-0.0546802,-0.122485,0.201088,-0.0560256,-0.112498
2.5,0.192698,-0.0573441,-0.197625,0.201054,-0.0583161,-0.187975
2.51,0.191403,-0.0593354,-0.255736,0.201336,-0.0600833,-0.246431
2.52,0.18739,-0.059535,-0.282964,0.197691,-0.0596425,-0.273456
2.53,0.179532,-0.0601724,-0.277389,0.189833,-0.0599632,-0.267761
2.54,0.168327,-0.0621941,-0.244698,0.177745,-0.0618474,-0.2346
2.55,0.15567,-0.0653712,-0.193939,0.16376,-0.0647756,-0.182972
2.56,0.143974,-0.0686635,-0.134583,0.150189,-0.0681354,-0.123311
2.57,0.131703,-0.0685135,-0.0677121,0.135804,-0.0679411,-0.0557042
2.58,0.112235,-0.0498324,0.0296064,0.113172,-0.0490783,0.0418499
2.59,0.110716,-0.0200467,0.117027,0.108874,-0.019476,0.129955
2.6,0.117909,0.00360171,0.194714,0.113205,0.00404301,0.207946
2.61,0.110392,0.0157315,0.271935,0.103113,0.0163471,0.28458
2.62,0.124994,0.0254234,0.29773,0.117199,0.0264309,0.309703
2.63,0.150272,0.0346871,0.288422,0.14445,0.0364649,0.299136
2.64,0.178752,0.0430792,0.255172,0.175358,0.0453956,0.265358
