t,x_true,y_true,x_est,y_est
4.02,0.330224,0.00131625,0.35615,0.000886287
4.03,0.332357,0.000995312,0.358543,0.000450781
4.04,0.334784,0.000582144,0.361248,-3.85726e-05
4.05,0.337499,0.000106708,0.363847,-0.000516572
4.06,0.340432,-0.000398944,0.366672,-0.00102055
4.07,0.343474,-0.000925006,0.369623,-0.00153094
4.08,0.346515,-0.00147251,0.372594,-0.00204157
4.09,0.349494,-0.00203842,0.37553,-0.00255052
4.1,0.352417,-0.00262585,0.378439,-0.00306566
4.11,0.355316,-0.00323629,0.381368,-0.0035939
4.12,0.358177,-0.00384876,0.384296,-0.00412592
4.13,0.360963,-0.00445126,0.38716,-0.00465528
4.14,0.363631,-0.00505527,0.389895,-0.00518908
4.15,0.36616,-0.00568184,0.392466,-0.00574629
4.16,0.368555,-0.0063438,0.394877,-0.00634053
4.17,0.370833,-0.00703647,0.39713,-0.00697122
4.18,0.37293,-0.00765052,0.399157,-0.00754018
4.19,0.374859,-0.00800735,0.400951,-0.0078833
4.2,0.376792,-0.00808103,0.402711,-0.00794312
4.21,0.37866,-0.00797526,0.404403,-0.00778529
4.22,0.380572,-0.00775336,0.406235,-0.00745749
4.23,0.382701,-0.00742699,0.408617,-0.00695475
4.24,0.385124,-0.00700498,0.411315,-0.00641438
4.25,0.387836,-0.00651701,0.413906,-0.00591421
4.26,0.390766,-0.00599689,0.416724,-0.00538074
4.27,0.393804,-0.00545601,0.419671,-0.00482777
4.28,0.396841,-0.00489469,0.422639,-0.00426056
4.29,0.399818,-0.00431665,0.425574,-0.00369037
4.3,0.402738,-0.00371849,0.428487,-0.00311393
4.31,0.405634,-0.00309672,0.431422,-0.00252571
4.32,0.408493,-0.00247111,0.434362,-0.00194932
4.33,0.411278,-0.00185434,0.437236,-0.00140747
4.34,0.413945,-0.00123284,0.439977,-0.000884226
4.35,0.416469,-0.000584582,0.442545,-0.000358316
4.36,0.418855,0.000101973,0.444943,0.000188578
4.37,0.421116,0.000821293,0.447188,0.000761899
