t,sigma_0,sigma_1,sigma_2,sigma_8,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7
11.351,0.00582193,0.00518951,0.00526704,0.148561,0.00248217,0.0024703,0.00176058,0.0395945,0.0393503
11.401,0.00583147,0.00519289,0.00527176,0.149101,0.00244847,0.00246166,0.00173187,0.039385,0.0391392
11.451,0.00583818,0.00519604,0.0052761,0.149626,0.00239029,0.00243407,0.00171048,0.0392384,0.038971
11.501,0.00586158,0.00521442,0.00529667,0.150114,0.00243293,0.00248772,0.00174918,0.0393845,0.0390764
11.551,0.00587759,0.00522649,0.00531114,0.150575,0.00245354,0.00249294,0.00175745,0.0394103,0.0392118
11.601,0.00588244,0.00522919,0.0053156,0.151199,0.00243768,0.00244685,0.00172906,0.0390554,0.0388632
11.651,0.00589251,0.00523339,0.00532056,0.15173,0.00240824,0.00240447,0.00171041,0.038926,0.0387318
11.701,0.00592071,0.00525273,0.00534108,0.152256,0.00245031,0.00243982,0.00174958,0.0390279,0.0387537
11.751,0.00594239,0.00526577,0.0053557,0.152761,0.00246671,0.00246224,0.00175846,0.0390075,0.0387812
11.801,0.0059512,0.00526932,0.00536044,0.153304,0.00243701,0.00245155,0.00173007,0.0388154,0.0385864
11.851,0.00595679,0.00527287,0.00536478,0.153832,0.00237656,0.00242655,0.0017084,0.0386884,0.0384356
11.901,0.0059783,0.00529182,0.00538494,0.154322,0.00241678,0.00247972,0.00174704,0.0388462,0.0385502
11.951,0.00599269,0.00530446,0.00539918,0.154785,0.00244172,0.00248157,0.0017555,0.0388886,0.038709
12.001,0.00599652,0.00530758,0.00540367,0.15541,0.00242664,0.00243766,0.00172733,0.0385503,0.0383711
12.051,0.00600575,0.00531199,0.00540857,0.155944,0.00239165,0.00239896,0.00170826,0.0384352,0.0382536
12.101,0.00603251,0.00533152,0.00542858,0.15647,0.0024312,0.0024331,0.00174704,0.0385514,0.0382843
