t,err_imu_only,err_contact
7.89,0.100692,0.00857995
7.9,0.100541,0.0085466
7.91,0.100531,0.00863426
7.92,0.100695,0.00883875
7.93,0.100998,0.00876374
7.94,0.101022,0.00880304
7.95,0.101303,0.0086889
7.96,0.101334,0.00892863
7.97,0.10186,0.00911963
7.98,0.102623,0.00870189
7.99,0.10326,0.00890978
8,0.10394,0.00941215
8.01,0.104495,0.00971387
8.02,0.104891,0.00947598
8.03,0.104796,0.00849639
8.04,0.104671,0.00802135
8.05,0.104747,0.00861663
8.06,0.104623,0.00860927
8.07,0.10459,0.00853566
8.08,0.104219,0.00855836
8.09,0.103969,0.00866472
8.1,0.10359,0.00906833
8.11,0.103737,0.00900779
8.12,0.104037,0.00913587
8.13,0.104277,0.00935147
8.14,0.104372,0.00946707
8.15,0.105058,0.00915046
8.16,0.105498,0.00910246
8.17,0.106003,0.00918034
8.18,0.106567,0.00906705
8.19,0.107157,0.00949992
8.2,0.107813,0.0100256
8.21,0.108342,0.0103755
8.22,0.108581,0.0103236
8.23,0.108861,0.00944523
8.24,0.108906,0.00896166
8.25,0.108996,0.00896397
8.26,0.108834,0.00872764
8.27,0.10896,0.00873594
8.28,0.108555,0.00861017
8.29,0.108311,0.00849317
8.3,0.108702,0.00860149
8.31,0.10879,0.00876796
8.32,0.108765,0.00897249
8.33,0.108844,0.00902964
8.34,0.109224,0.00924254
8.35,0.109454,0.00949926
8.36,0.110095,0.00950694
8.37,0.110415,0.00976532
8.38,0.110976,0.00985759
8.39,0.111483,0.0104715
8.4,0.112288,0.0109235
8.41,0.112712,0.0111925
8.42,0.112892,0.0112229
8.43,0.11319,0.0106002
8.44,0.113523,0.0101592
8.45,0.113351,0.0105744
8.46,0.113179,0.0103803
8.47,0.112902,0.0100921
8.48,0.112657,0.00960918
8.49,0.11254,0.00927966
8.5,0.112513,0.00910418
8.51,0.112362,0.0093853
8.52,0.11216,0.00977997
8.53,0.112194,0.0096608
8.54,0.112702,0.00968118
8.55,0.11289,0.00975159
8.56,0.113307,0.00970292
8.57,0.113547,0.0099647
8.58,0.114333,0.00989457
8.59,0.114906,0.00977062
8.6,0.115567,0.0105224
8.61,0.116207,0.0108781
8.62,0.116466,0.0109227
8.63,0.116375,0.0101975
8.64,0.116582,0.0100705
8.65,0.116746,0.0105011
8.66,0.116432,0.0104031
8.67,0.116367,0.0103189
8.68,0.116298,0.0101684
8.69,0.116369,0.0100423
8.7,0.115944,0.0096652
8.71,0.115913,0.00965791
8.72,0.11601,0.0094866
8.73,0.116287,0.0091896
8.74,0.116586,0.00905776
8.75,0.116753,0.00912791
8.76,0.116977,0.0092535
8.77,0.117488,0.00963092
8.78,0.117982,0.00971978
8.79,0.118448,0.00964276
8.8,0.119034,0.00981377
8.81,0.119621,0.0100849
8.82,0.119921,0.0098232
8.83,0.120061,0.00885965
