t,roll_err_deg,roll_err_rms_deg,bay_err_rms,roll_sigma_deg,bay_err,bay_sigma,turning
2.8,0.322042,0.134831,0.0217706,0.892658,-0.0511292,0.152383,0
2.81,0.304058,0.13534,0.0218564,0.891159,-0.0448113,0.15214,0
2.82,0.239331,0.135607,0.0219435,0.890003,-0.0322118,0.151986,0
2.83,0.149466,0.135777,0.0220519,0.889008,-0.0177416,0.151888,0
2.84,0.100836,0.136064,0.0222036,0.888278,-0.0112568,0.151854,0
2.85,0.0876256,0.136468,0.0224195,0.887664,-0.0109437,0.151848,0
2.86,0.0719668,0.136924,0.0227139,0.886975,-0.0105416,0.151841,0
2.87,0.0542905,0.137419,0.0230888,0.886213,-0.00992755,0.151828,0
2.88,0.0345565,0.137445,0.0234339,0.885401,-0.00904994,0.151807,0
2.89,0.012976,0.136077,0.0235217,0.884566,-0.0080112,0.151775,0
2.9,-0.00442854,0.133967,0.0233779,0.883752,-0.00695311,0.151731,0
2.91,-0.0105348,0.131823,0.0230934,0.882945,-0.00631993,0.151673,0
2.92,-0.00779494,0.13089,0.0228486,0.88204,-0.00596076,0.151583,0
2.93,-0.00413719,0.132153,0.0228435,0.881073,-0.00537887,0.151473,0
2.94,-0.00965078,0.135323,0.0231602,0.880165,-0.00438506,0.15137,0
2.95,-0.0190844,0.139296,0.0236211,0.879385,-0.00361299,0.15129,0
2.96,-0.0235683,0.143052,0.0239241,0.878675,-0.00382301,0.151228,0
2.97,-0.0189626,0.145174,0.0238718,0.877972,-0.00520082,0.151173,0
2.98,0.00702997,0.145161,0.0235112,0.87739,-0.00727594,0.151121,0
2.99,0.0339374,0.144408,0.0231565,0.877065,-0.00878532,0.151066,0
3,0.0271322,0.144335,0.0230303,0.876918,-0.00843887,0.151009,0
3.01,-0.00629103,0.144292,0.0230289,0.876937,-0.00601301,0.150956,0
3.02,-0.0471453,0.142818,0.0229126,0.877128,-0.000450511,0.150909,0
3.03,-0.0982248,0.138852,0.0224384,0.877424,0.00880617,0.150864,0
3.04,-0.120623,0.132549,0.0214846,0.877913,0.0144788,0.150843,0
3.05,-0.106897,0.124747,0.0202206,0.878498,0.0141051,0.150834,0
3.06,-0.0961402,0.116634,0.019006,0.879058,0.0142093,0.150819,0
3.07,-0.086282,0.109994,0.0181559,0.879551,0.0153109,0.150793,0
3.08,-0.0782352,0.10644,0.0177837,0.879917,0.0175013,0.150752,0
